source_file,original,s1,assumption,preprocessed,canonical
first_file.json,"-2\,x + 2 + 7\,x-1 = 2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(7*x + (2 - 2*x)) - 1=2,5*x - 1
first_file.json,"6\,y\ge -3\,z-1","y\ge -\frac{3}{6}\,c-\frac{1}{9}",\textrm{wahr},6*y=-3*z - 1,6*y + 3*z + 1
first_file.json,"6\,y\ge -3\,z-1","y\ge -\frac{3}{6}\,z-\frac{1}{9}",\textrm{wahr},6*y=-3*z - 1,6*y + 3*z + 1
first_file.json,"-2\,x-2-7\,x-1 = 2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (-2*x - 2)) - 1=2,-9*x - 5
first_file.json,"-(2\,x-2)-(7\,x-1) = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(2 - 2*x) - (7*x - 1)=-2,5 - 9*x
first_file.json,"2\,x-2-7\,x + 1 = 2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2*x - 2)) + 1=2,-5*x - 3
first_file.json,"2\,x-2-7\,x + 1 = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2*x - 2)) + 1=-2,1 - 5*x
first_file.json,"-5\,x = -1",x = \frac{5}{9},\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),-5*x=-1,1 - 5*x
first_file.json,"-4\,x = 12",x = \emptyset ,\left( x < -\frac{6}{4}\right) \vee \left( x > 1\right),-4*x=12,-4*x - 12
first_file.json,"4\,l\le -4\,m + 1","l < -\frac{4}{4}\,m + \frac{1}{4}",\textrm{wahr},4*l=1 - 4*m,4*l + 4*m - 1
first_file.json,"-2\,x + 2-7\,x + 1 = -2","-5\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x > \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=-2,5 - 9*x
first_file.json,"-2\,x + 2-7\,x + 1 = 2","-5\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x > \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=2,1 - 9*x
first_file.json,"-2\,x + 2-7\,x + 1 = 2","-5\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=2,1 - 9*x
first_file.json,"-2\,x-2-7\,x-1 = 2","-5\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (-2*x - 2)) - 1=2,-9*x - 5
first_file.json,"-2\,x + 2-7\,x + 1 = 2","-5\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=2,1 - 9*x
first_file.json,"37\,x\ge -79",x > -\frac{9}{5},\left( x\neq -1.8\right) \wedge \left( x > -\frac{9}{5}\right),37*x=-79,37*x + 79
first_file.json,"37\,x\ge -79",x > -\frac{79}{37},\left( x\neq -1.8\right) \wedge \left( x > -\frac{9}{5}\right),37*x=-79,37*x + 79
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","-x + 2-16\,x^{2} + 24\,x-9 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","16\,x^{2}-7\,x-16\,x + 7 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,"9\,x\le 5",x\ge \frac{5}{9},x\ge 2,9*x=5,9*x - 5
first_file.json,"9\,x\le 5",x\ge \frac{5}{9},x\ge 2,9*x=5,9*x - 5
first_file.json,"-x + 2 = 16^{2}-24\,x + 9","16\,x^{2}-7\,x-16\,x + 7 = 0",\textrm{wahr},2 - x=(-24*x + 16**2) + 9,23*x - 263
first_file.json,x = -1,\textrm{wahr},x < \frac{3}{2},x=-1,x + 1
first_file.json,x = -1,\textrm{wahr},x < \frac{3}{2},x=-1,x + 1
first_file.json,"-2\,x + 3 + 6\,x-5 = 6","-8\,x-2 = 6",x < \frac{3}{2},(6*x + (3 - 2*x)) - 5=6,4*x - 8
first_file.json,"(-5\,a-3)\,x = 4","x = \frac{4}{-5\,a-3}",\textrm{wahr},x*(-5*a - 3)=4,-x*(5*a + 3) - 4
first_file.json,"(-5\,a-3)\,x = 4","x = \frac{4}{-5\,a-3}",\textrm{wahr},x*(-5*a - 3)=4,-x*(5*a + 3) - 4
first_file.json,"(1-2\,a)\,x = -7",0 = -7,\textrm{wahr},x*(1 - 2*a)=-7,x*(1 - 2*a) + 7
first_file.json,"(1-2\,a)\,x = -7","x = \frac{-7}{1-2\,a}",\textrm{wahr},x*(1 - 2*a)=-7,x*(1 - 2*a) + 7
first_file.json,"4\,\sin{\left(4\,x + 2\right)} = y-7",\left|y-3\right| \le 4,\textrm{wahr},4*sin(4*x + 2)=y - 7,-y + 4*sin(4*x + 2) + 7
first_file.json,"4\,\sin{\left(4\,x + 2\right)} = y-7",\left|y-7\right| \le 4,\textrm{wahr},4*sin(4*x + 2)=y - 7,-y + 4*sin(4*x + 2) + 7
first_file.json,y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",\textrm{wahr},y=-7/8,y + 7/8
first_file.json,"4\,\sin{\left(4\,x + 2\right)} = y-7",\left|y-7\right| \le 4,\textrm{wahr},4*sin(4*x + 2)=y - 7,-y + 4*sin(4*x + 2) + 7
first_file.json,"(-3\,a-1)\,x = -1","x = \frac{1}{-3\,a-1}",\textrm{wahr},x*(-3*a - 1)=-1,-x*(3*a + 1) + 1
first_file.json,"(-3\,a-1)\,x = -1","x = -\frac{1}{3\,a + 1}",\textrm{wahr},x*(-3*a - 1)=-1,-x*(3*a + 1) + 1
first_file.json,"(-3\,a-1)\,x = -1","x = -\frac{1}{3\,a + 1}",\textrm{wahr},x*(-3*a - 1)=-1,-x*(3*a + 1) + 1
first_file.json,y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",\textrm{wahr},y=-7/8,y + 7/8
first_file.json,"-15\,x\le 39",x\le -2.6,x\neq -2,-15*x=39,-15*x - 39
first_file.json,"-6\,x-9\le 15\,x + 30","-15\,x\le 39",x\neq -2,-6*x - 9=15*x + 30,-21*x - 39
first_file.json,y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",\textrm{wahr},y=-7/8,y + 7/8
first_file.json,"(a-4)\,x = 2",x = \frac{2}{a-4},\textrm{wahr},x*(a - 4)=2,x*(a - 4) - 2
first_file.json,y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",\textrm{wahr},y=-7/8,y + 7/8
first_file.json,"x-5-2\,x + 6 = 7","-3\,x + 1 = 7",\left( x\ge 3\right) \wedge \left( x < 5\right),(-2*x + (x - 5)) + 6=7,-x - 6
first_file.json,"5\,x-1 = -2-5\,a\,x","5\,x-5\,a\,x = -1",\textrm{wahr},5*x - 1=-5*a*x - 2,5*a*x + 5*x + 1
first_file.json,"(1 + 3\,a)\,x = 0",x = \left( \frac{0}{1 + 3}\right)_{a},a\neq \frac{1}{3},x*(3*a + 1)=0,x*(3*a + 1)
first_file.json,"(1 + 3\,a)\,x = 0",x = \left( \frac{0}{1 + 3}\right)_{a},a\neq \frac{1}{3},x*(3*a + 1)=0,x*(3*a + 1)
first_file.json,"(1 + 3\,a)\,x = 0",x = \left( \frac{0}{1 + 3}\right)_{a},a\neq \frac{1}{3},x*(3*a + 1)=0,x*(3*a + 1)
first_file.json,"x-5 = 3-2\,a\,x","x-2\,a\,x = 8",\textrm{wahr},x - 5=3 - 2*a*x,2*a*x + x - 8
first_file.json,y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",\textrm{wahr},y=-7/8,y + 7/8
first_file.json,y\le -\frac{7}{8},"\mathbb{L} = \left(-\infty ,-\frac{7}{8}\right]",\textrm{wahr},y=-7/8,y + 7/8
first_file.json,"x + 3 = -5 + 3\,a\,x","x-a\,x = -8",\textrm{wahr},x + 3=3*(a*x) - 5,-3*a*x + x + 8
first_file.json,"x-a\,x = -8","(1-3\,a)\,x = -8",\textrm{wahr},-a*x + x=-8,x*(1 - a) + 8
first_file.json,"(1-2\,a)\,x = 8","x = \frac{8}{1-2\,a}",a\neq -\frac{1}{2},x*(1 - 2*a)=8,x*(1 - 2*a) - 8
first_file.json,"(1-2\,a)\,x = 8","x = \frac{8}{1-2\,a}",a\neq -\frac{1}{2},x*(1 - 2*a)=8,x*(1 - 2*a) - 8
first_file.json,y\ge 0,"w = \left[0,\infty \right)",\textrm{wahr},y=0,y
first_file.json,"-45\,x\ge 36",x\ge \frac{-4}{5},\left( x\neq -0.6666666666666666\right) \wedge \left( x > \frac{-4}{6}\right),-45*x=36,-45*x - 36
first_file.json,"-45\,x\le 36",x\le \frac{-4}{5},\left( x\neq -0.6666666666666666\right) \wedge \left( x < \frac{-4}{6}\right),-45*x=36,-45*x - 36
first_file.json,y\ge 0,"w = \left[0,\infty \right)",\textrm{wahr},y=0,y
first_file.json,"-(4\,x + 7)\ge 1","4\,x + 7\ge -1",x < \frac{7}{4},-4*x - 7=1,-4*x - 8
first_file.json,"4\,x + 7\ge 1","4\,x > -6",x\ge -\frac{7}{4},4*x + 7=1,4*x + 6
first_file.json,"4\,x\ge -6",x > -\frac{6}{4},x\ge -\frac{7}{4},4*x=-6,4*x + 6
first_file.json,"5\,x + 5 = -3 + 5\,a\,x\,\left|-5\,a\,x\right| -4\,t","5\,x-5\,a\,x = -3-4\,t",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x-5\,a\,x = -3-4\,t",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"5\,x-5\,a\,x = -3-5","x\,(5-5\,a) = -3-4\,t",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"x\,(5-5\,a) = -3-4\,t","x = \frac{-3-4\,t}{5-5\,a}",\textrm{wahr},x(5 - 5*a)=-4*t - 3,4*t + x(5 - 5*a) + 3
first_file.json,"5\,x-5\,a\,x = -3-5","x\,(5 + 5\,a) = -3-5",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"5\,x-5\,a\,x = -3-5","x\,(5 + 5\,a) = -3-5",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"5\,x-5\,a\,x = -3-5","x\,(5 + 5\,a) = -3-5",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"x\,(5 + 5\,a) = -3-5","x = \frac{-3-5}{5 + 5\,a}",\textrm{wahr},x(5*a + 5)=-5 - 3,x(5*a + 5) + 8
first_file.json,"5\,x-5\,a\,x = -3-5","x\,(5 + 5\,a) = -3-5",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"x\,(5 + 5\,a) = -3-5","x = \frac{-3-5}{5 + 5\,a}",\textrm{wahr},x(5*a + 5)=-5 - 3,x(5*a + 5) + 8
first_file.json,"-x + 3 = 4 + 3\,a","-x-3\,a\,x = 1",\textrm{wahr},3 - x=3*a + 4,-3*a - x - 1
first_file.json,"5\,x-5\,a\,x = -3-5","x = 5 + 5\,a = -3-5",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"5\,x-5\,a\,x = -3-5","x = 5 + 5\,a = -3-5",\textrm{wahr},5*x - 5*a*x=-5 - 3,5*x*(1 - a) + 8
first_file.json,"3\le 5\,y",y\ge \frac{3}{5},\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),3=5*y,3 - 5*y
first_file.json,"3\le 5\,y",y\ge \frac{3}{5},\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),3=5*y,3 - 5*y
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = 10",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = 2",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = 10",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"3\le 5\,y",y\ge \frac{3}{5},\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),3=5*y,3 - 5*y
first_file.json,"3\le 5\,y",y\ge \frac{3}{5},\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),3=5*y,3 - 5*y
first_file.json,"3\le 5\,y",y\ge \frac{3}{5},\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),3=5*y,3 - 5*y
first_file.json,"3\le 5\,y",y\ge \frac{3}{5},\left( \left( y\neq 0\right) \wedge \left( y > 0\right)\right) \wedge \left( y < 0\right),3=5*y,3 - 5*y
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = -8",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = 8",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = 2",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"5\,x + 5 = -3 + 5\,a\,x","5\,x + 5\,a\,x = -2",\textrm{wahr},5*x + 5=5*(a*x) - 3,-5*a*x + 5*x + 8
first_file.json,"(5 + 5\,a)\,x = 10",0 = 10,a = \frac{5}{5},x*(5*a + 5)=10,5*x*(a + 1) - 10
first_file.json,"-4\,x-2\,a\,x = 8","x + \frac{2}{8}\,a\,x = 4",\textrm{wahr},-4*x - 2*a*x=8,2*x*(-a - 2) - 8
first_file.json,"-4\,x-2\,a\,x = 8","x + \frac{2}{8}\,a\,x = -4",\textrm{wahr},-4*x - 2*a*x=8,2*x*(-a - 2) - 8
first_file.json,"(1 + 3\,a)\,x = -1",0 = -1,\textrm{wahr},x*(3*a + 1)=-1,x*(3*a + 1) + 1
first_file.json,"-4\,x-2\,a\,x = 8","(4\,x + 2\,a)\,x = -8",\textrm{wahr},-4*x - 2*a*x=8,2*x*(-a - 2) - 8
first_file.json,-(x-4)\le 4,x-4\le -4,x < 4,4 - x=4,-x
first_file.json,-(x-4)\le 4,x-4\le 4,x < 4,4 - x=4,-x
first_file.json,x-4\le 4,x\le 0,x < 4,x - 4=4,x - 8
first_file.json,-(x-5)\le 1,x-5\ge -1,\left( x\ge 5\right) \wedge \left( x < 5\right),5 - x=1,4 - x
first_file.json,x-5\ge -1,x\ge 4,\left( x\ge 5\right) \wedge \left( x < 5\right),x - 5=-1,x - 4
first_file.json,0 = x,\textrm{falsch},a = 5,0=x,-x
first_file.json,0 = x,\textrm{falsch},a = 5,0=x,-x
first_file.json,0 = x,\textrm{falsch},a = 5,0=x,-x
first_file.json,0 = x,\textrm{falsch},a = -5,0=x,-x
first_file.json,0 = x,\textrm{falsch},a = -5,0=x,-x
first_file.json,0 = x,\textrm{falsch},a = -5,0=x,-x
first_file.json,0 = x,\textrm{falsch},a = -5,0=x,-x
first_file.json,"(2\,a-1)\,x = -8","x = \frac{8}{2\,a-1}",a = \frac{1}{2},x*(2*a - 1)=-8,x*(2*a - 1) + 8
first_file.json,"(-a-5)\,x = 2",x = \frac{2}{-a-5},a\neq 5,x*(-a - 5)=2,-x*(a + 5) - 2
first_file.json,"y\,(x^{2} + 6\,x + 9-4) = 3","y\,(x + 3-4) = 3",\left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq -5\right),y(((x**2 + 6*x) + 9) - 4)=3,y(x**2 + 6*x + 5) - 3
first_file.json,"y\,(x + 3-4) = 3","y\,\left( x + 3\right)^{2} = 3 + 4\,y",\left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq -5\right),y((x + 3) - 4)=3,y(x - 1) - 3
first_file.json,"4\,r + 1\le -4\,r + 5\,a","1\le 5\,a",\textrm{wahr},4*r + 1=5*a - 4*r,-5*a + 8*r + 1
first_file.json,"y\,\left( x-1\right)^{2} = 5 + 4\,y","\left( x-3\right)^{2} = \frac{5 + 4\,y}{y}",\left( \left( \left( y\neq 0\right) \wedge \left( x\neq -1\right)\right) \wedge \left( x\neq 3\right)\right) \wedge \left( y > 0\right),y(x - 1)**2=4*y + 5,-4*y + y(x - 1)**2 - 5
first_file.json,"2\,x-2-7\,x + 1 = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2*x - 2)) + 1=-2,1 - 5*x
first_file.json,"2\,x-2-7\,x + 1 = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2*x - 2)) + 1=-2,1 - 5*x
first_file.json,"-2\,x + 2-7\,x + 1 = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=-2,5 - 9*x
first_file.json,"-2\,x + 2-7\,x + 1 = -2","-9\,x = -1",\left( \left( x\ge 1\right) \wedge \left( \left( x\ge \frac{1}{7}\right) \wedge \left( x < 1\right)\right)\right) \wedge \left( x < \frac{1}{7}\right),(-7*x + (2 - 2*x)) + 1=-2,5 - 9*x
